image_name,best_model_perceptual.keras_mse,best_model_perceptual.keras_psnr,best_model_perceptual.keras_ssim,exp_lambda1e4_20251107_191941.keras_mse,exp_lambda1e4_20251107_191941.keras_psnr,exp_lambda1e4_20251107_191941.keras_ssim,exp_perc_norm_20251107_194814.keras_mse,exp_perc_norm_20251107_194814.keras_psnr,exp_perc_norm_20251107_194814.keras_ssim,exp_perc_norm_l5e4_20251107_195113.keras_mse,exp_perc_norm_l5e4_20251107_195113.keras_psnr,exp_perc_norm_l5e4_20251107_195113.keras_ssim,original_baseline_model.keras_mse,original_baseline_model.keras_psnr,original_baseline_model.keras_ssim
298.png,0.00236240,26.266466,0.873682,0.00294049,25.315796,0.879146,0.00283625,25.472551,0.877457,0.00385816,24.136200,0.872073,0.00385816,24.136200,0.872073
30.png,0.04084392,13.888725,0.696313,0.04354011,13.611105,0.675155,0.04042496,13.933503,0.705682,0.04339548,13.625555,0.691144,0.04339548,13.625555,0.691144
300.png,0.00073842,31.316965,0.937761,0.00064431,31.909058,0.938630,0.00089375,30.487823,0.942314,0.00082487,30.836138,0.943245,0.00082487,30.836138,0.943245
302.png,0.00270850,25.672714,0.856956,0.00197016,27.054979,0.878727,0.00230438,26.374460,0.874877,0.00157606,28.024281,0.868773,0.00157606,28.024281,0.868773
303.png,0.00138807,28.575884,0.924869,0.00107442,29.688240,0.931611,0.00183108,27.372921,0.932837,0.00137380,28.620760,0.930573,0.00137380,28.620760,0.930573
304.png,0.00279271,25.539743,0.887147,0.00308607,25.105938,0.888407,0.00501818,22.994535,0.881843,0.00352663,24.526400,0.883966,0.00352663,24.526400,0.883966
309.png,0.00194181,27.117941,0.909048,0.00262912,25.801895,0.908205,0.00252666,25.974537,0.914440,0.00303797,25.174164,0.906878,0.00303797,25.174164,0.906878
310.png,0.00146745,28.334379,0.946925,0.00148564,28.280874,0.946686,0.00208124,26.816786,0.951444,0.00176334,27.536650,0.952601,0.00176334,27.536650,0.952601
313.png,0.00997808,20.009527,0.790007,0.00864382,20.632940,0.795505,0.01129740,19.470213,0.782706,0.00862284,20.643494,0.788471,0.00862284,20.643494,0.788471
314.png,0.00978671,20.093634,0.795078,0.01782539,17.489607,0.789163,0.02580002,15.883799,0.776769,0.02731611,15.635812,0.775116,0.02731611,15.635812,0.775116
